dataID	beetles	precipitation	altitude	temperature	minTemp	region	plot	year	technician	spatialCoordinate
131	3	0.206109444	0.12244898	13.68347981	-2.839587246	2	7	11	5	3.673469388
132	0	0.919276256	0.12244898	12.61747476	-8.564918828	2	7	12	1	3.673469388
133	0	0.02281245	0.12244898	14.2245773	-5.659835409	2	7	13	2	3.673469388
134	0	0.963759745	0.12244898	11.16789458	-9.287344474	2	7	14	3	3.673469388
135	4	0.315865244	0.12244898	13.53820009	-4.59048695	2	7	15	5	3.673469388
136	0	0.665608417	0.12244898	13.45860034	-8.758450958	2	7	16	3	3.673469388
137	0	0.533543303	0.12244898	13.05552624	-7.649214876	2	7	17	3	3.673469388
138	0	0.817796719	0.12244898	10.31606371	-10.12159812	2	7	18	2	3.673469388
139	2	0.18526351	0.12244898	11.04466425	-8.894803664	2	7	19	4	3.673469388
140	1	0.399517552	0.12244898	10.37884	-8.700380722	2	7	20	1	3.673469388
141	0	0.17845326	0.142857143	13.34134517	-9.178584787	2	8	1	2	4.285714286
142	0	0.285434211	0.142857143	13.45646703	-4.957380235	2	8	2	3	4.285714286
143	1	0.629469827	0.142857143	12.33509011	-5.203745667	2	8	3	4	4.285714286
144	5	0.300100282	0.142857143	13.61420247	-5.679783805	2	8	4	5	4.285714286
145	1	0.443673962	0.142857143	11.32785664	-4.737525115	2	8	5	4	4.285714286
146	0	0.73020094	0.142857143	12.47457851	-19.75109724	2	8	6	5	4.285714286
147	1	0.668163537	0.142857143	10.83575665	-6.636716576	2	8	7	1	4.285714286
148	2	0.311657001	0.142857143	13.38067526	-3.780118764	2	8	8	5	4.285714286
149	1	0.478578083	0.142857143	13.08386379	-3.321946313	2	8	9	2	4.285714286
150	0	0.291410151	0.142857143	12.7786048	-8.921494783	2	8	10	2	4.285714286
151	0	0.182174213	0.142857143	9.602049698	-15.327881	2	8	11	2	4.285714286
152	0	0.360762583	0.142857143	10.23074008	-10.85562846	2	8	12	2	4.285714286
153	0	0.903800031	0.142857143	12.52168815	-4.990574483	2	8	13	4	4.285714286
154	0	0.394047617	0.142857143	10.42925621	-11.18711537	2	8	14	3	4.285714286
155	0	0.779880527	0.142857143	10.9649437	-10.46792893	2	8	15	5	4.285714286
156	0	0.284158946	0.142857143	9.765171001	-12.31581027	2	8	16	3	4.285714286
157	0	0.853720767	0.142857143	12.24111116	-2.648068971	2	8	17	5	4.285714286
158	0	0.172242468	0.142857143	11.79014978	-9.401447481	2	8	18	3	4.285714286
159	6	0.079264182	0.142857143	13.61451007	-9.70223957	2	8	19	5	4.285714286
160	0	0.292064977	0.142857143	13.46807027	-4.714059977	2	8	20	5	4.285714286
161	0	0.840371178	0.163265306	9.634689032	-5.854130773	2	9	1	3	4.897959184
162	0	0.945268081	0.163265306	10.26471207	-6.688607113	2	9	2	2	4.897959184
163	0	0.0449652	0.163265306	12.65979249	-3.521664865	2	9	3	3	4.897959184
164	0	0.758382908	0.163265306	12.9779373	-10.38835249	2	9	4	3	4.897959184
165	0	0.296887998	0.163265306	10.58679911	-10.78113716	2	9	5	5	4.897959184
166	2	0.651054439	0.163265306	8.467455055	-8.199530527	2	9	6	4	4.897959184
167	45	0.084989784	0.163265306	12.941739	-7.143317879	2	9	7	5	4.897959184
168	0	0.975481075	0.163265306	8.085210516	-10.69629607	2	9	8	3	4.897959184
169	0	0.013624931	0.163265306	11.54077423	-10.57359286	2	9	9	3	4.897959184
170	0	0.538869452	0.163265306	9.000536647	-12.08043371	2	9	10	3	4.897959184
171	5	0.965781802	0.163265306	9.916590262	-9.356107693	2	9	11	5	4.897959184
172	0	0.101073444	0.163265306	12.90883487	-2.240927265	2	9	12	3	4.897959184
173	0	0.256751343	0.163265306	9.702977971	-10.62263351	2	9	13	2	4.897959184
174	0	0.895147221	0.163265306	11.66204737	-8.550534084	2	9	14	2	4.897959184
175	0	0.387944191	0.163265306	10.4833255	-11.48402871	2	9	15	3	4.897959184
176	13	0.794285445	0.163265306	9.98707798	-7.247934947	2	9	16	5	4.897959184
177	3	0.34939676	0.163265306	11.15002367	-10.96499615	2	9	17	2	4.897959184
178	0	0.138744307	0.163265306	10.46296836	-6.92299955	2	9	18	2	4.897959184
179	0	0.650508984	0.163265306	12.99050823	-5.90208987	2	9	19	3	4.897959184
180	0	0.544004308	0.163265306	10.51294506	-12.97125429	2	9	20	3	4.897959184
181	0	0.945244047	0.183673469	9.079221853	-17.45585875	2	10	1	5	5.510204082
182	0	0.571745747	0.183673469	9.113770834	-10.19424636	2	10	2	3	5.510204082
183	1	0.953633589	0.183673469	11.39493106	-10.67402607	2	10	3	4	5.510204082
184	2	0.780252999	0.183673469	10.15811966	-8.492042373	2	10	4	4	5.510204082
185	0	0.118284454	0.183673469	9.743212605	-7.456450947	2	10	5	3	5.510204082
186	1	0.837111809	0.183673469	12.13005846	-11.20925873	2	10	6	4	5.510204082
187	0	0.087159318	0.183673469	11.08875029	-9.129939833	2	10	7	3	5.510204082
188	0	0.748599963	0.183673469	12.18112	-7.106806114	2	10	8	1	5.510204082
189	4	0.065181657	0.183673469	11.7280466	-4.236593739	2	10	9	1	5.510204082
190	0	0.077695569	0.183673469	13.67346435	-3.983960037	2	10	10	3	5.510204082
191	5	0.105083768	0.183673469	9.042558531	-7.833144159	2	10	11	1	5.510204082
192	4	0.406686355	0.183673469	9.731065268	-8.987162039	2	10	12	4	5.510204082
193	2	0.974964513	0.183673469	11.84331351	-10.04975949	2	10	13	4	5.510204082
194	0	0.164833496	0.183673469	11.58548986	-11.69344478	2	10	14	2	5.510204082
195	0	0.503050236	0.183673469	10.5910434	-8.868660539	2	10	15	2	5.510204082
196	0	0.201554204	0.183673469	11.44079592	-9.447333891	2	10	16	3	5.510204082
197	1	0.199721848	0.183673469	8.993361926	-9.178552593	2	10	17	2	5.510204082
198	8	0.178135111	0.183673469	10.86605297	-11.60437709	2	10	18	5	5.510204082
199	0	0.273866682	0.183673469	9.335995402	-8.884558238	2	10	19	2	5.510204082
200	1	0.130620241	0.183673469	9.233343442	-8.921348416	2	10	20	2	5.510204082
201	0	0.858691586	0.204081633	8.578867724	-10.01547512	3	11	1	4	6.12244898
202	0	0.645160362	0.204081633	9.957006713	-13.94473789	3	11	2	4	6.12244898
203	1	0.602798666	0.204081633	10.44537327	-10.31262813	3	11	3	5	6.12244898
204	0	0.971980712	0.204081633	10.48910003	-6.613824014	3	11	4	5	6.12244898
205	0	0.376657234	0.204081633	9.326326763	-11.30695682	3	11	5	1	6.12244898
206	0	0.819114487	0.204081633	10.20277412	-13.9735047	3	11	6	5	6.12244898
207	0	0.22673876	0.204081633	9.831407762	-4.233811672	3	11	7	5	6.12244898
208	0	0.206508502	0.204081633	11.66129133	-10.14976715	3	11	8	2	6.12244898
209	0	0.194289194	0.204081633	12.98494311	-9.651873882	3	11	9	3	6.12244898
210	0	0.240568205	0.204081633	10.12367564	-8.76396823	3	11	10	1	6.12244898
211	0	0.979721972	0.204081633	11.94243261	-9.310906285	3	11	11	4	6.12244898
212	0	0.524250151	0.204081633	13.05824934	-6.767544959	3	11	12	4	6.12244898
213	0	0.826370721	0.204081633	10.66397244	-9.728437151	3	11	13	3	6.12244898
214	2	0.670885496	0.204081633	12.20823808	-5.488796999	3	11	14	1	6.12244898
215	0	0.977714837	0.204081633	12.5158265	-7.371947027	3	11	15	5	6.12244898
216	1	0.057648452	0.204081633	12.88467806	-8.913350067	3	11	16	1	6.12244898
217	2	0.336741157	0.204081633	12.41690162	-7.788370692	3	11	17	4	6.12244898
218	0	0.01260701	0.204081633	9.90357152	-13.28152785	3	11	18	5	6.12244898
219	0	0.362856286	0.204081633	9.325752238	-13.58128273	3	11	19	4	6.12244898
220	0	0.2096943	0.204081633	9.58194243	-12.10449437	3	11	20	2	6.12244898
221	2	0.152120636	0.224489796	10.25821417	-6.940937285	3	12	1	4	6.734693878
222	0	0.93581241	0.224489796	12.14531077	-11.71516185	3	12	2	1	6.734693878
223	0	0.401092958	0.224489796	8.810996935	-8.761046821	3	12	3	3	6.734693878
224	0	0.485836446	0.224489796	12.82524473	-9.881582737	3	12	4	3	6.734693878
225	1	0.681486446	0.224489796	11.46194324	-5.777545615	3	12	5	2	6.734693878
226	0	0.854035486	0.224489796	11.64904646	-8.229092886	3	12	6	3	6.734693878
227	0	0.912917172	0.224489796	11.27002781	-7.264333008	3	12	7	4	6.734693878
228	4	0.475857608	0.224489796	12.07890145	-8.526648604	3	12	8	4	6.734693878
229	0	0.7136803	0.224489796	10.69815733	-7.86185608	3	12	9	3	6.734693878
230	0	0.82975348	0.224489796	9.936922425	-8.699459026	3	12	10	2	6.734693878
231	0	0.675797855	0.224489796	9.984851173	-8.95447956	3	12	11	3	6.734693878
232	0	0.339701653	0.224489796	12.1874521	-13.78077325	3	12	12	3	6.734693878
233	0	0.890829902	0.224489796	11.91943759	-9.065186522	3	12	13	2	6.734693878
234	0	0.528829259	0.224489796	8.75123036	-13.97545794	3	12	14	1	6.734693878
235	0	0.874337471	0.224489796	8.287515604	-10.99903967	3	12	15	4	6.734693878
236	13	0.258656928	0.224489796	13.21460099	-6.713247354	3	12	16	5	6.734693878
237	0	0.542446066	0.224489796	9.542078263	-11.54172364	3	12	17	2	6.734693878
238	2	0.216001205	0.224489796	11.535733	-4.547904662	3	12	18	1	6.734693878
239	1	0.21672059	0.224489796	11.49369231	-6.26686158	3	12	19	2	6.734693878
240	1	0.474040792	0.224489796	10.98732089	-13.57830631	3	12	20	5	6.734693878
241	0	0.892734028	0.244897959	9.11010979	-10.866196	3	13	1	1	7.346938776
242	0	0.30171696	0.244897959	11.92599718	-13.18748338	3	13	2	4	7.346938776
243	1	0.55521898	0.244897959	11.85954519	-4.943784448	3	13	3	4	7.346938776
244	1	0.755216217	0.244897959	10.82457472	-6.194795091	3	13	4	5	7.346938776
245	0	0.956425424	0.244897959	10.31010072	-10.95126981	3	13	5	4	7.346938776
246	2	0.954311486	0.244897959	11.87986787	-9.109542197	3	13	6	5	7.346938776
247	0	0.333364723	0.244897959	10.87771103	-15.33468904	3	13	7	4	7.346938776
248	0	0.516684106	0.244897959	9.649299011	-7.546176016	3	13	8	1	7.346938776
249	0	0.148189591	0.244897959	12.9035807	-2.446912409	3	13	9	3	7.346938776
250	0	0.356819599	0.244897959	8.194232727	-15.20033346	3	13	10	3	7.346938776
251	0	0.704566315	0.244897959	11.01398756	-11.480063	3	13	11	5	7.346938776
252	0	0.080405641	0.244897959	12.81599823	-10.36283685	3	13	12	1	7.346938776
253	0	0.251560876	0.244897959	9.342838283	-14.84623742	3	13	13	5	7.346938776
254	0	0.051435322	0.244897959	9.069067569	-5.457783279	3	13	14	2	7.346938776
255	0	0.738525303	0.244897959	7.95943084	-10.43598999	3	13	15	2	7.346938776
256	1	0.013758507	0.244897959	12.4306757	-9.559463939	3	13	16	4	7.346938776
257	0	0.042354837	0.244897959	12.81267564	-12.31951717	3	13	17	5	7.346938776
258	1	0.281820129	0.244897959	11.74636922	-10.3471221	3	13	18	1	7.346938776
259	0	0.04071661	0.244897959	8.8535778	-9.68467084	3	13	19	5	7.346938776
260	0	0.632280522	0.244897959	12.31540159	-10.90763078	3	13	20	4	7.346938776
261	1	0.754841333	0.265306122	9.750484822	-8.759560847	3	14	1	5	7.959183673
262	4	0.050946507	0.265306122	12.98511566	-4.289130038	3	14	2	5	7.959183673
263	0	0.629663854	0.265306122	11.69012453	-9.868738811	3	14	3	4	7.959183673
264	0	0.357108946	0.265306122	8.419581001	-5.563005458	3	14	4	1	7.959183673
265	0	0.808141407	0.265306122	8.398215886	-8.879760199	3	14	5	1	7.959183673
266	0	0.671664241	0.265306122	12.70768863	-11.49032508	3	14	6	2	7.959183673
267	0	0.021887152	0.265306122	12.87928554	-4.863313685	3	14	7	2	7.959183673
268	0	0.689538967	0.265306122	7.831448272	-11.32934189	3	14	8	3	7.959183673
269	0	0.887354609	0.265306122	10.44534029	-10.1944041	3	14	9	3	7.959183673
270	0	0.537209265	0.265306122	12.08172556	-6.16185934	3	14	10	1	7.959183673
271	0	0.885026359	0.265306122	8.719889563	-12.14184292	3	14	11	3	7.959183673
272	0	0.914174511	0.265306122	8.76709614	-10.83258991	3	14	12	4	7.959183673
273	2	0.848979947	0.265306122	12.46136217	-7.652060195	3	14	13	5	7.959183673
274	0	0.293509236	0.265306122	10.85500192	-10.01573018	3	14	14	2	7.959183673
275	0	0.784186412	0.265306122	8.662793497	-5.495992016	3	14	15	4	7.959183673
276	0	0.493701991	0.265306122	11.64626895	-6.333238366	3	14	16	1	7.959183673
277	0	0.982573993	0.265306122	9.872843385	-9.520646506	3	14	17	1	7.959183673
278	0	0.243201081	0.265306122	9.474283346	-8.651160237	3	14	18	4	7.959183673
279	0	0.07299952	0.265306122	12.35958076	-6.195091617	3	14	19	2	7.959183673
280	0	0.231656597	0.265306122	11.59662939	-8.99854538	3	14	20	1	7.959183673
281	1	0.279911692	0.285714286	9.615588174	-8.166743987	3	15	1	4	8.571428571
282	0	0.970960319	0.285714286	7.753910446	-11.91291051	3	15	2	5	8.571428571
283	0	0.658995782	0.285714286	7.751152976	-5.016872254	3	15	3	1	8.571428571
284	0	0.670112134	0.285714286	7.980711573	-13.8671432	3	15	4	2	8.571428571
285	0	0.209838527	0.285714286	8.397788478	-8.978002224	3	15	5	2	8.571428571
286	1	0.990622452	0.285714286	8.075859953	-10.32201096	3	15	6	5	8.571428571
287	0	0.534088101	0.285714286	8.725574272	-14.43121246	3	15	7	1	8.571428571
288	0	0.574372728	0.285714286	10.37895905	-11.24136639	3	15	8	1	8.571428571
289	0	0.772239737	0.285714286	9.087872518	-13.23390694	3	15	9	2	8.571428571
290	3	0.357089431	0.285714286	9.825383548	-8.184891042	3	15	10	4	8.571428571
291	1	0.256661232	0.285714286	11.92980599	-6.500674028	3	15	11	2	8.571428571
292	0	0.316445876	0.285714286	11.37115024	0.707936252	3	15	12	2	8.571428571
293	0	0.744443613	0.285714286	8.127146309	-6.161955693	3	15	13	3	8.571428571
294	0	0.499665976	0.285714286	11.96566195	-7.622122123	3	15	14	1	8.571428571
295	0	0.708809185	0.285714286	10.80240347	-11.86172173	3	15	15	2	8.571428571
296	0	0.414896452	0.285714286	12.50302728	-10.46663968	3	15	16	3	8.571428571
297	0	0.209911216	0.285714286	8.93870061	-5.403670047	3	15	17	2	8.571428571
298	0	0.080862649	0.285714286	10.82129137	-12.72260988	3	15	18	1	8.571428571
299	1	0.159290118	0.285714286	9.489137948	-11.60741807	3	15	19	4	8.571428571
300	1	0.504089608	0.285714286	11.9554356	-8.937701543	3	15	20	4	8.571428571
301	1	0.835440672	0.306122449	11.85548289	-12.95152397	4	16	1	5	9.183673469
302	0	0.487449983	0.306122449	8.292300423	-10.41640687	4	16	2	1	9.183673469
303	26	0.432731892	0.306122449	12.52367137	-4.489100149	4	16	3	1	9.183673469
304	1	0.880691585	0.306122449	9.633067691	-9.816172775	4	16	4	1	9.183673469
305	0	0.764911714	0.306122449	10.72752237	-13.45748181	4	16	5	2	9.183673469
306	256	0.054860987	0.306122449	12.79428939	-3.498209959	4	16	6	4	9.183673469
307	0	0.199217761	0.306122449	8.699681762	-14.00668555	4	16	7	1	9.183673469
308	8	0.686824689	0.306122449	8.641608181	-12.50779224	4	16	8	5	9.183673469
309	42	0.899250715	0.306122449	11.930167	-4.602129782	4	16	9	4	9.183673469
310	74	0.04573869	0.306122449	12.95087958	-5.449999421	4	16	10	1	9.183673469
311	77	0.089618092	0.306122449	10.8195189	-12.70700701	4	16	11	5	9.183673469
312	34	0.440876809	0.306122449	8.913496366	-6.524935317	4	16	12	4	9.183673469
313	0	0.777965648	0.306122449	9.182209704	-12.39273643	4	16	13	1	9.183673469
314	4	0.140085094	0.306122449	11.48070795	-10.31352882	4	16	14	2	9.183673469
315	0	0.678748693	0.306122449	8.159985948	-11.42433178	4	16	15	1	9.183673469
316	587	0.04759801	0.306122449	12.64194901	-6.363419485	4	16	16	5	9.183673469
317	4	0.605647756	0.306122449	8.251301546	-13.12686595	4	16	17	4	9.183673469
318	4	0.450144442	0.306122449	9.482552625	-5.974572559	4	16	18	2	9.183673469
319	2	0.747780841	0.306122449	8.232836766	-9.722970252	4	16	19	1	9.183673469
320	0	0.177149523	0.306122449	9.283672035	-12.52585351	4	16	20	3	9.183673469
321	0	0.654857116	0.326530612	8.326201569	-11.46220619	4	17	1	4	9.795918367
322	28	0.16410845	0.326530612	11.90068173	-6.219415525	4	17	2	1	9.795918367
323	155	0.261713722	0.326530612	12.65758136	-5.487010912	4	17	3	4	9.795918367
324	0	0.095037385	0.326530612	10.21678807	-8.09748441	4	17	4	3	9.795918367
325	27	0.394460163	0.326530612	12.43356983	-6.518312031	4	17	5	4	9.795918367
326	19	0.213218232	0.326530612	11.33560219	-6.6105957	4	17	6	2	9.795918367
327	0	0.6405314	0.326530612	8.24180755	-12.33132123	4	17	7	4	9.795918367
